sample_id,feature,shap_value,feature_value,model,target
46,linear_log_p,-0.38076686224710543,2.282399892807007,linear,log_kcat_value
47,linear_log_p,-0.3999065153769106,2.545799970626831,linear,log_kcat_value
48,linear_log_p,0.0,-0.6283800005912781,linear,log_kcat_value
49,linear_log_p,-0.35176157033628735,2.156399965286255,linear,log_kcat_value
50,linear_log_p,-0.19250065802722202,0.89410001039505,linear,log_kcat_value
51,linear_log_p,0.16289866145472473,-1.9800000190734863,linear,log_kcat_value
52,linear_log_p,0.3072290992024833,-3.1043999195098877,linear,log_kcat_value
53,linear_log_p,-0.22980585137658738,1.145799994468689,linear,log_kcat_value
54,linear_log_p,0.07848590467215355,-1.344499945640564,linear,log_kcat_value
55,linear_log_p,-0.1282782278712461,0.3181000053882599,linear,log_kcat_value
56,linear_log_p,0.2507707992558314,-2.898900032043457,linear,log_kcat_value
57,linear_log_p,0.301725733985426,-3.1043999195098877,linear,log_kcat_value
58,linear_log_p,-0.18462832429049186,0.8033999800682068,linear,log_kcat_value
59,linear_log_p,0.1251533800016305,-1.7057000398635864,linear,log_kcat_value
60,linear_log_p,0.07612743563403183,-1.3361999988555908,linear,log_kcat_value
61,linear_log_p,0.21670691418094543,-2.3882999420166016,linear,log_kcat_value
62,linear_log_p,0.2907147601879651,-3.015899896621704,linear,log_kcat_value
63,linear_log_p,-0.3858662211872248,2.3125998973846436,linear,log_kcat_value
64,linear_log_p,-0.3871599363802205,2.311300039291382,linear,log_kcat_value
65,linear_log_p,0.0,-0.5817999839782715,linear,log_kcat_value
66,linear_log_p,0.2257035804033385,-2.6863999366760254,linear,log_kcat_value
67,linear_log_p,-1.5593121062452964,11.403169631958008,linear,log_kcat_value
68,linear_log_p,0.08859759240520304,-1.3154000043869019,linear,log_kcat_value
69,linear_log_p,0.3883012323469074,-3.7627999782562256,linear,log_kcat_value
70,linear_log_p,0.3290434358106492,-3.255000114440918,linear,log_kcat_value
71,linear_log_p,-0.4617699122925038,2.80649995803833,linear,log_kcat_value
72,linear_log_p,0.20326991407850753,-2.268899917602539,linear,log_kcat_value
73,linear_log_p,0.24951463154466746,-2.733599901199341,linear,log_kcat_value
74,linear_log_p,-0.5725566521574237,3.7509000301361084,linear,log_kcat_value
75,linear_log_p,0.2987693078153833,-3.1043999195098877,linear,log_kcat_value
76,linear_log_p,0.22840608053080033,-2.6863999366760254,linear,log_kcat_value
77,linear_log_p,0.0,-0.25200000405311584,linear,log_kcat_value
78,linear_log_p,-0.03593645638951748,-0.41190001368522644,linear,log_kcat_value
79,linear_log_p,-0.4114237705881478,2.3472700119018555,linear,log_kcat_value
80,linear_log_p,-1.0546507790881794,7.388700008392334,linear,log_kcat_value
81,linear_log_p,0.3210384398940143,-3.221400022506714,linear,log_kcat_value
82,linear_log_p,0.053448758401464166,-1.129699945449829,linear,log_kcat_value
83,linear_log_p,0.08106928408136639,-1.3361999988555908,linear,log_kcat_value
84,linear_log_p,0.04791995424561592,-1.1269999742507935,linear,log_kcat_value
85,linear_log_p,0.2979376055120653,-3.015899896621704,linear,log_kcat_value
86,linear_log_p,0.3218114341229804,-3.221400022506714,linear,log_kcat_value
87,linear_log_p,0.1132844212708709,-1.628999948501587,linear,log_kcat_value
88,linear_log_p,0.0,-0.8256000280380249,linear,log_kcat_value
89,linear_log_p,1.1043505597631058,-9.398300170898438,linear,log_kcat_value
90,linear_log_p,-0.815603581502902,5.662099838256836,linear,log_kcat_value
91,linear_log_p,0.2905618414832422,-3.015899896621704,linear,log_kcat_value
92,linear_log_p,0.11774271920703869,-1.628999948501587,linear,log_kcat_value
93,linear_log_p,0.0,-0.7368999719619751,linear,log_kcat_value
94,linear_log_p,0.3861828725489897,-3.7822999954223633,linear,log_kcat_value
95,linear_log_p,-0.43469604016937735,2.6793999671936035,linear,log_kcat_value
96,linear_log_p,0.1350087205274901,-1.746000051498413,linear,log_kcat_value
97,linear_log_p,-0.36493345503538727,2.2037999629974365,linear,log_kcat_value
98,linear_log_p,-0.3255254026826595,1.8676999807357788,linear,log_kcat_value
99,linear_log_p,0.0,0.009999999776482582,linear,log_kcat_value
